CO_MUNICIPIO;NO_MUNICIPIO;QTD_ESCOLAS;QTD_ESCOLAS_INFO_DESKTOPS;PCT_ESCOLAS_INFO_DESKTOPS;QTD_ESCOLAS_URBANAS;QTD_ESCOLAS_RURAIS;QTD_ESCOLAS_FEDERAIS;QTD_ESCOLAS_ESTADUAIS;QTD_ESCOLAS_MUNICIPAIS;QTD_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_ENSINO_MEDIO;PCT_ESCOLAS_AGUA_POTAVEL;PCT_ESCOLAS_ENERGIA_REDE_PUBLICA;PCT_ESCOLAS_ESGOTO_REDE_PUBLICA;PCT_ESCOLAS_COLETA_LIXO;PCT_ESCOLAS_BIBLIOTECA_LEITURA;PCT_ESCOLAS_LAB_CIENCIAS;PCT_ESCOLAS_LAB_INFORMATICA;PCT_ESCOLAS_QUADRA;PCT_ESCOLAS_REFEITORIO;PCT_ESCOLAS_INTERNET;PCT_ESCOLAS_INTERNET_ALUNOS;PCT_ESCOLAS_INTERNET_APRENDIZAGEM;PCT_ESCOLAS_BANDA_LARGA;PCT_ESCOLAS_BANHEIRO_PNE;PCT_ESCOLAS_SALA_ATENDIMENTO_ESPECIAL;PCT_ESCOLAS_RAMPAS;PCT_ESCOLAS_PISOS_TATEIS;PCT_ESCOLAS_SINALIZACAO_ACESSIVEL;PCT_ESCOLAS_SEM_ACESSIBILIDADE;QTD_ESCOLAS_COM_INTERNET;PCT_ESCOLAS_COM_INTERNET_QUE_TEM_BANDA_LARGA;TOTAL_DESKTOPS_ALUNOS;TOTAL_PORTATEIS_ALUNOS;TOTAL_TABLETS_ALUNOS;TOTAL_SALAS_UTILIZADAS;TOTAL_SALAS_CLIMATIZADAS;TOTAL_SALAS_ACESSIVEIS;PCT_SALAS_CLIMATIZADAS;PCT_SALAS_ACESSIVEIS
2102358;Buritirana;26;26;100.0;5;21;0;1;25;1;3.85;88.46;100.0;0.0;69.23;23.08;3.85;23.08;7.69;3.85;92.31;38.46;34.62;73.08;46.15;7.69;76.92;0.0;0.0;23.08;24.0;79.17;71;23;1;134;47;55;35.07;41.04
2102374;Cachoeira Grande;25;25;100.0;6;19;0;1;24;1;4.0;96.0;100.0;0.0;24.0;12.0;0.0;0.0;0.0;8.0;44.0;8.0;24.0;28.0;32.0;12.0;28.0;4.0;0.0;68.0;11.0;63.64;13;16;1;145;21;16;14.48;11.03
2102408;Cajapió;34;34;100.0;8;26;0;2;32;2;5.88;97.06;100.0;5.88;38.24;17.65;0.0;5.88;5.88;8.82;97.06;8.82;70.59;76.47;11.76;0.0;35.29;0.0;0.0;61.76;33.0;78.79;26;1;9;110;42;8;38.18;7.27
2102507;Cajari;58;58;100.0;6;52;0;2;56;2;3.45;96.55;98.28;0.0;10.34;3.45;1.72;3.45;3.45;1.72;63.79;27.59;13.79;60.34;12.07;3.45;39.66;1.72;0.0;34.48;37.0;94.59;31;18;0;207;106;2;51.21;0.97
2102556;Campestre do Maranhão;16;16;100.0;11;5;0;1;15;1;6.25;93.75;100.0;0.0;87.5;6.25;0.0;25.0;6.25;6.25;87.5;0.0;6.25;87.5;37.5;31.25;56.25;0.0;0.0;0.0;14.0;100.0;10;3;0;91;41;19;45.05;20.88
2102606;Cândido Mendes;46;46;100.0;9;37;0;2;44;2;4.35;100.0;93.48;0.0;21.74;21.74;0.0;8.7;4.35;32.61;95.65;4.35;36.96;76.09;21.74;8.7;30.43;4.35;0.0;60.87;44.0;79.55;57;22;42;227;104;9;45.81;3.96
2102705;Cantanhede;30;30;100.0;12;18;0;1;29;1;3.33;96.67;100.0;3.33;53.33;10.0;0.0;0.0;6.67;26.67;93.33;6.67;40.0;83.33;40.0;83.33;20.0;3.33;0.0;60.0;28.0;89.29;16;13;50;160;102;9;63.75;5.62
2102754;Capinzal do Norte;24;24;100.0;10;14;0;3;21;3;12.5;100.0;100.0;25.0;70.83;20.83;0.0;0.0;4.17;4.17;87.5;8.33;70.83;79.17;8.33;8.33;83.33;0.0;0.0;4.17;21.0;90.48;8;2;1;103;18;15;17.48;14.56
2102804;Carolina;46;46;100.0;21;25;1;4;41;3;6.52;97.83;95.65;17.39;52.17;23.91;2.17;4.35;6.52;6.52;80.43;13.04;63.04;69.57;28.26;10.87;60.87;4.35;0.0;36.96;37.0;86.49;52;5;7;185;59;16;31.89;8.65
2102903;Carutapera;42;42;100.0;18;24;0;5;37;5;11.9;88.1;95.24;2.38;57.14;33.33;2.38;21.43;11.9;33.33;85.71;11.9;42.86;69.05;45.24;23.81;54.76;4.76;0.0;38.1;36.0;80.56;94;76;5;241;123;54;51.04;22.41
